Código Nacional|Nombre Estación|Comuna|Región|Latitud|Longitud|Organismo|Datos Desde|Datos Hasta
380049|Sta. Ines|Lautaro|De La Araucanía|-38.504722|-72.34361|Instituto de Investigación Agropecuaria|2019|2023
380051|Quiripio|Carahue|De La Araucanía|-38.639721|-73.244166|Instituto de Investigación Agropecuaria|2019|2023
380052|Perales|Cholchol|De La Araucanía|-38.663888|-72.808888|Instituto de Investigación Agropecuaria|2019|2023
380054|Tranapuente|Carahue|De La Araucanía|-38.690833|-73.353333|Instituto de Investigación Agropecuaria|2019|2023
380056|Marimenuco|Lonquimay|De La Araucanía|-38.731666|-71.140833|Instituto de Investigación Agropecuaria|2019|2023
380057|Sta. Adela|Nueva Imperial|De La Araucanía|-38.756111|-72.891388|Instituto de Investigación Agropecuaria|2019|2023
380059|El Membrillo|Melipeuco|De La Araucanía|-38.834166|-71.682499|Instituto de Investigación Agropecuaria|2019|2023
380061|Domínguez|Saavedra|De La Araucanía|-38.91861|-73.240277|Instituto de Investigación Agropecuaria|2019|2023
380062|C. Llollinco|Teodoro Schmidt|De La Araucanía|-38.976943|-72.997777|Instituto de Investigación Agropecuaria|2019|2022
380063|Victoria (Reg.)|Victoria|De La Araucanía|-38.228888|-72.343333|Dirección Meteorológica de Chile|2019|2023
380064|Collipulli|Collipulli|De La Araucanía|-38.001111|-72.245555|Fundación para el Desarrollo Frutícola|2020|2023
380065|Traiguén|Traiguén|De La Araucanía|-38.357222|-72.547499|Fundación para el Desarrollo Frutícola|2020|2023
380066|Traiguén, Galvarino|Galvarino|De La Araucanía|-38.359166|-72.709722|Fundación para el Desarrollo Frutícola|2020|2023
380067|Nueva Imperial (FDF)|Nueva Imperial|De La Araucanía|-38.761388|-72.877499|Fundación para el Desarrollo Frutícola|2020|2023
380068|Freire, Los Quilantos|Freire|De La Araucanía|-38.908333|-72.798333|Fundación para el Desarrollo Frutícola|2020|2023
380069|Freire|Freire|De La Araucanía|-38.971388|-72.784166|Fundación para el Desarrollo Frutícola|2020|2023
380070|Teodoro Schmidt, Pocoyan|Teodoro Schmidt|De La Araucanía|-38.992499|-73.098888|Fundación para el Desarrollo Frutícola|2020|2023
380071|Freire, Allipén|Freire|De La Araucanía|-38.999721|-72.52111|Fundación para el Desarrollo Frutícola|2020|2023
380072|San Rafael|Los Sauces|De La Araucanía|-38.070554|-72.724166|Instituto de Investigación Agropecuaria|2020|2023
380073|Gaby Ranquilco|Lumaco|De La Araucanía|-38.116943|-72.88361|Instituto de Investigación Agropecuaria|2020|2023
380074|Pailahueque|Ercilla|De La Araucanía|-38.145555|-72.298333|Instituto de Investigación Agropecuaria|2020|2023
